perfil;red_social;tweets_post_totales;tweets_post_diarios;seguidores_fans_totales;seguidores_fans_diarios;fecha
Turismo Castilla y León es Vida;TWITTER;51634;133;100519;131;2019-08-09
Turismo Castilla y León es Vida;TWITTER;51501;0;100388;0;2019-08-06
Turismo Castilla y León es Vida;TWITTER;51501;0;100388;0;2019-08-04
Turismo Castilla y León es Vida;TWITTER;51501;0;100388;0;2019-07-30
Turismo Castilla y León es Vida;TWITTER;51298;17;100214;6;2019-07-14
Turismo Castilla y León es Vida;TWITTER;51262;16;100188;7;2019-07-11
Turismo Castilla y León es Vida;TWITTER;51170;21;100051;16;2019-07-05
Turismo Castilla y León es Vida;TWITTER;51149;18;100035;18;2019-07-04
Turismo Castilla y León es Vida;TWITTER;51060;14;99968;21;2019-06-29
Turismo Castilla y León es Vida;TWITTER;51032;18;99943;6;2019-06-27
Turismo Castilla y León es Vida;TWITTER;50958;11;99901;9;2019-06-23
Turismo Castilla y León es Vida;TWITTER;50823;14;99815;-4;2019-06-14
Turismo Castilla y León es Vida;TWITTER;50794;14;99803;12;2019-06-12
Turismo Castilla y León es Vida;TWITTER;50780;13;99791;2;2019-06-11
Turismo Castilla y León es Vida;TWITTER;50714;20;99754;12;2019-06-07
Turismo Castilla y León es Vida;TWITTER;50624;12;99663;14;2019-06-01
Turismo Castilla y León es Vida;TWITTER;50234;12;99381;19;2019-05-05
Turismo Castilla y León es Vida;TWITTER;49865;25;99113;5;2019-04-15
Turismo Castilla y León es Vida;TWITTER;49617;14;98932;16;2019-04-02
Turismo Castilla y León es Vida;TWITTER;49349;12;98653;15;2019-03-16
Turismo Castilla y León es Vida;TWITTER;49306;14;98623;20;2019-03-13
Turismo Castilla y León es Vida;TWITTER;49230;16;98560;17;2019-03-08
Turismo Castilla y León es Vida;TWITTER;48952;22;98389;16;2019-02-20
Turismo Castilla y León es Vida;TWITTER;48751;17;98266;-12;2019-02-07
Turismo Castilla y León es Vida;TWITTER;48645;15;98232;7;2019-01-31
Turismo Castilla y León es Vida;TWITTER;48578;34;98159;22;2019-01-26
Turismo Castilla y León es Vida;TWITTER;48531;23;98120;23;2019-01-24
Turismo Castilla y León es Vida;TWITTER;48320;14;97949;6;2019-01-10
Turismo Castilla y León es Vida;TWITTER;48192;11;97855;6;2018-12-31
Turismo Castilla y León es Vida;TWITTER;48006;17;97759;6;2018-12-18
Turismo Castilla y León es Vida;TWITTER;47942;20;97734;4;2018-12-14
Turismo Castilla y León es Vida;TWITTER;47876;13;97722;7;2018-12-10
Turismo Castilla y León es Vida;TWITTER;47863;12;97715;1;2018-12-09
Turismo Castilla y León es Vida;TWITTER;47851;13;97714;3;2018-12-08
Turismo Castilla y León es Vida;TWITTER;47531;20;97602;14;2018-11-19
Turismo Castilla y León es Vida;TWITTER;47333;12;97597;61;2018-11-07
Turismo Castilla y León es Vida;TWITTER;47256;16;97351;11;2018-11-01
Turismo Castilla y León es Vida;TWITTER;47120;14;97275;10;2018-10-24
Turismo Castilla y León es Vida;TWITTER;47023;16;97225;4;2018-10-18
Turismo Castilla y León es Vida;TWITTER;46489;20;96785;-3;2018-09-13
Turismo Castilla y León es Vida;TWITTER;46409;12;96765;9;2018-09-08
Turismo Castilla y León es Vida;TWITTER;46267;18;96675;10;2018-08-30
Turismo Castilla y León es Vida;TWITTER;46190;14;96628;-1;2018-08-26
Turismo Castilla y León es Vida;TWITTER;46167;21;96628;20;2018-08-24
Turismo Castilla y León es Vida;TWITTER;45974;17;96486;10;2018-08-10
Turismo Castilla y León es Vida;TWITTER;45910;16;96428;12;2018-08-06
Turismo Castilla y León es Vida;TWITTER;45776;16;96361;16;2018-07-26
Turismo Castilla y León es Vida;TWITTER;45633;13;96334;0;2018-07-16
Turismo Castilla y León es Vida;TWITTER;45620;13;96334;17;2018-07-15
Turismo Castilla y León es Vida;TWITTER;45567;15;96833;3;2018-07-11
Turismo Castilla y León es Vida;TWITTER;45488;14;96806;5;2018-07-05
Turismo Castilla y León es Vida;TWITTER;45451;17;96786;10;2018-07-03
Turismo Castilla y León es Vida;TWITTER;45434;18;96776;-3;2018-07-02
Turismo Castilla y León es Vida;TWITTER;45358;15;96752;7;2018-06-27
Turismo Castilla y León es Vida;TWITTER;45273;16;96704;16;2018-06-21
Turismo Castilla y León es Vida;TWITTER;45053;18;96615;18;2018-06-07
Turismo Castilla y León es Vida;TWITTER;44932;16;96526;16;2018-05-31
Turismo Castilla y León es Vida;TWITTER;44819;20;96535;9;2018-05-24
Turismo Castilla y León es Vida;TWITTER;44759;16;96515;21;2018-05-21
Turismo Castilla y León es Vida;TWITTER;44693;15;96443;15;2018-05-17
Turismo Castilla y León es Vida;TWITTER;44560;16;96228;12;2018-05-08
Turismo Castilla y León es Vida;TWITTER;44544;16;96216;27;2018-05-07
Turismo Castilla y León es Vida;TWITTER;44422;11;96026;28;2018-04-29
Turismo Castilla y León es Vida;TWITTER;44411;12;95998;23;2018-04-28
Turismo Castilla y León es Vida;TWITTER;44399;16;95975;22;2018-04-27
Turismo Castilla y León es Vida;TWITTER;44370;14;95930;38;2018-04-25
